"60.  Ich mochte ihn noch nie. ", " I have never liked him.", vocabulary-tag
"61.  Unsere Nachbarn kommen aus Ungarn. ", " Our neighbors come from Hungary.", vocabulary-tag
"62.  Ich werde um sieben hier sein. ", " I will be here at seven.", vocabulary-tag
"63.  Es ist erst 14:00 Uhr, aber ich bin schon mit allem fertig. ", " It is only 14:00 (2 PM) but I am already finished with everything.", vocabulary-tag
"64.  Als ich ankam, waren alle schon weg. ", " When I got there, everyone was gone already.", vocabulary-tag
"65.  Wir werden ihm nachher den Schlüssel geben . ", " We will give the keys to him later.", vocabulary-tag
"66.  Ich liebe dich auch. ", " I love you, too.", vocabulary-tag
"67.  Wir haben keine Zeit mehr – wir müssen jetzt gehen! ", " We don’t have any more time – we have to go now !", vocabulary-tag
"68.  Zuerst gehen wir in die Stadmitte und dann in den Park. ", " First, we will go to the city center and then to the park.", vocabulary-tag
"69.  Du hast ja überhaupt nichts im Kühlschrank! ", " You haven’t got anything in the fridge!", vocabulary-tag
"70.  Er findet dies nicht in Ordnung. ", " He doesn’t think this is okay.", vocabulary-tag
"71.  Okay, ich werde dich dieses Mal nicht bestrafen. ", " Okay, I won’t punish you this time .", vocabulary-tag
"72.  Sie kann nicht in den Urlaub fahren, denn sie hat kein Geld. ", " She cannot go on holiday because she has no money.", vocabulary-tag
"73.  Das Weiß des Kleides ist nicht sehr schön. ", " The white of the dress is not very nice.", vocabulary-tag
"74.  Kannst du die Kinder im Garten spielen lassen ? ", " Can you let the children play in the garden?", vocabulary-tag
"75.  Sie wissen nicht, was sie mit den ganzen Früchten aus dem Garten machen sollen . ", " They don’t know what they should do with all the fruit from the garden.", vocabulary-tag
"76.  Wir können heute einkaufen gehen oder morgen. ", " We can go shopping today or tomorrow.", vocabulary-tag
"77.  Alle Studenten müssen hier unterschreiben. ", " All students have to sign here.", vocabulary-tag
"78.  Wir wollten heute wandern gehen, doch das Wetter ist zu schlecht. ", " We wanted to go hiking today, but the weather is too bad.", vocabulary-tag
"79.  Nachdem er die Deutschprüfung bestanden hat, beginnt er mit seinem Studium. ", " After passing the German exam, he starts his studies.", vocabulary-tag
"80.  Meine Mutter backt die besten Kuchen! ", " My mother bakes the best cakes!", vocabulary-tag
"81.  Es ist so dunkel, dass man gar nichts sehen kann. ", " It is so dark that one cannot see anything.", vocabulary-tag
"82.  Ich habe Hunger, denn ich habe heute noch nichts gegessen! ", " I am hungry because I have eaten nothing today!", vocabulary-tag
"83.  Wo sind die neuen Schuhe, die ich gekauft habe? ", " Where are the new shoes that I bought?", vocabulary-tag
"84.  Wir meinen , dass du jetzt gehen solltest. ", " We mean that you should go now.", vocabulary-tag
"85.  Oh ! Ich habe dich gar nicht gesehen! ", " Oh ! I didn’t see you!", vocabulary-tag
"86.  Welcher Mann hat dir das Kleid verkauft? ", " Which man sold the dress to you?", vocabulary-tag
"87.  Etwas stimmt hier nicht. ", " Something isn’t right here.", vocabulary-tag
"88.  Möchtest du mehr Nudeln haben? ", " Do you want more pasta?", vocabulary-tag
"89.  Ich habe einen neuen Job und er gefällt mir sehr. ", " I have a new job and I really like it.", vocabulary-tag
"90.  Warum gehst du nicht ans Telefon? ", " Why aren’t you answering the phone?", vocabulary-tag
"91.  Ich habe noch sehr viel zu tun, also kann ich nicht zur Party gehen. ", " I still have a lot to do, hence I cannot go to the party.", vocabulary-tag
"92.  Wir treffen uns um 18:00 Uhr bei der Bäckerei. ", " We are meeting at 18:00 (6 PM) at the bakery.", vocabulary-tag
"93.  Kannst du ihnen bitte sagen, dass ich mich verspäten werde? ", " Can you please tell them that I will be running late?", vocabulary-tag
"94.  Ich habe keine Ahnung, wo sie ist. ", " I have no idea where she is.", vocabulary-tag
"95.  Thomas muss immer das letzte Wort haben. ", " Thomas always has to have the last word.", vocabulary-tag
"96.  Ich habe den Kaffee ganz ausgetrunken. ", " I drank all the coffee.", vocabulary-tag
"97.  Hast du alles verstanden? ", " Did you understand all of that?", vocabulary-tag
"98.  Ich habe eine Bitte : Kannst du mich bitte zum Bahnhof fahren? ", " I have a request : Can you drive me to the train station please ?", vocabulary-tag
"99.  Sie hat das Auto vor dem Haus geparkt. ", " She parked the car in front of the house.", vocabulary-tag
"100.  Wann sehen wir uns wieder ? ", " When will we see each other again ?", vocabulary-tag
