62.  Ich werde um sieben hier sein. ,  I will be here at seven., vocabulary-tag
63.  Es ist erst 14:00 Uhr, aber ich bin schon mit allem fertig. ,  It is only 14:00 (2 PM) but I am already finished with everything., vocabulary-tag
64.  Als ich ankam, waren alle schon weg. ,  When I got there, everyone was gone already., vocabulary-tag
65.  Wir werden ihm nachher den Schlüssel geben . ,  We will give the keys to him later., vocabulary-tag
66.  Ich liebe dich auch. ,  I love you, too., vocabulary-tag
67.  Wir haben keine Zeit mehr – wir müssen jetzt gehen! ,  We don’t have any more time – we have to go now !, vocabulary-tag
68.  Zuerst gehen wir in die Stadmitte und dann in den Park. ,  First, we will go to the city center and then to the park., vocabulary-tag
69.  Du hast ja überhaupt nichts im Kühlschrank! ,  You haven’t got anything in the fridge!, vocabulary-tag
70.  Er findet dies nicht in Ordnung. ,  He doesn’t think this is okay., vocabulary-tag
71.  Okay, ich werde dich dieses Mal nicht bestrafen. ,  Okay, I won’t punish you this time ., vocabulary-tag
72.  Sie kann nicht in den Urlaub fahren, denn sie hat kein Geld. ,  She cannot go on holiday because she has no money., vocabulary-tag
73.  Das Weiß des Kleides ist nicht sehr schön. ,  The white of the dress is not very nice., vocabulary-tag
74.  Kannst du die Kinder im Garten spielen lassen ? ,  Can you let the children play in the garden?, vocabulary-tag
75.  Sie wissen nicht, was sie mit den ganzen Früchten aus dem Garten machen sollen . ,  They don’t know what they should do with all the fruit from the garden., vocabulary-tag
76.  Wir können heute einkaufen gehen oder morgen. ,  We can go shopping today or tomorrow., vocabulary-tag
77.  Alle Studenten müssen hier unterschreiben. ,  All students have to sign here., vocabulary-tag
78.  Wir wollten heute wandern gehen, doch das Wetter ist zu schlecht. ,  We wanted to go hiking today, but the weather is too bad., vocabulary-tag
79.  Nachdem er die Deutschprüfung bestanden hat, beginnt er mit seinem Studium. ,  After passing the German exam, he starts his studies., vocabulary-tag
80.  Meine Mutter backt die besten Kuchen! ,  My mother bakes the best cakes!, vocabulary-tag
81.  Es ist so dunkel, dass man gar nichts sehen kann. ,  It is so dark that one cannot see anything., vocabulary-tag
82.  Ich habe Hunger, denn ich habe heute noch nichts gegessen! ,  I am hungry because I have eaten nothing today!, vocabulary-tag
83.  Wo sind die neuen Schuhe, die ich gekauft habe? ,  Where are the new shoes that I bought?, vocabulary-tag
84.  Wir meinen , dass du jetzt gehen solltest. ,  We mean that you should go now., vocabulary-tag
85.  Oh ! Ich habe dich gar nicht gesehen! ,  Oh ! I didn’t see you!, vocabulary-tag
86.  Welcher Mann hat dir das Kleid verkauft? ,  Which man sold the dress to you?, vocabulary-tag
87.  Etwas stimmt hier nicht. ,  Something isn’t right here., vocabulary-tag
88.  Möchtest du mehr Nudeln haben? ,  Do you want more pasta?, vocabulary-tag
89.  Ich habe einen neuen Job und er gefällt mir sehr. ,  I have a new job and I really like it., vocabulary-tag
90.  Warum gehst du nicht ans Telefon? ,  Why aren’t you answering the phone?, vocabulary-tag
91.  Ich habe noch sehr viel zu tun, also kann ich nicht zur Party gehen. ,  I still have a lot to do, hence I cannot go to the party., vocabulary-tag
92.  Wir treffen uns um 18:00 Uhr bei der Bäckerei. ,  We are meeting at 18:00 (6 PM) at the bakery., vocabulary-tag
93.  Kannst du ihnen bitte sagen, dass ich mich verspäten werde? ,  Can you please tell them that I will be running late?, vocabulary-tag
94.  Ich habe keine Ahnung, wo sie ist. ,  I have no idea where she is., vocabulary-tag
95.  Thomas muss immer das letzte Wort haben. ,  Thomas always has to have the last word., vocabulary-tag
96.  Ich habe den Kaffee ganz ausgetrunken. ,  I drank all the coffee., vocabulary-tag
97.  Hast du alles verstanden? ,  Did you understand all of that?, vocabulary-tag
98.  Ich habe eine Bitte : Kannst du mich bitte zum Bahnhof fahren? ,  I have a request : Can you drive me to the train station please ?, vocabulary-tag
99.  Sie hat das Auto vor dem Haus geparkt. ,  She parked the car in front of the house., vocabulary-tag
100.  Wann sehen wir uns wieder ? ,  When will we see each other again ?, vocabulary-tag
101.  Ich werde ihr dieses Buch zum Geburtstag schenken. ,  I will give this book to her for her birthday., vocabulary-tag
102.  Ich könnte mir ein Leben ohne Musik nicht vorstellen. ,  I could not imagine a life without music., vocabulary-tag
103.  Wir sollten ein Los kaufen – vielleicht gewinnen wir! ,  We should buy a raffle ticket – maybe we will win!, vocabulary-tag
104.  Normalerweise mögen Kinder Schokolade sehr. ,  Normally children like chocolate a lot., vocabulary-tag
105.  Der Zahnarzt füllte meinen Zahn mit einem Inlay. ,  The dentist filled my tooth with an inlay., vocabulary-tag
106.  Anna findet Geschichte sehr interessant. ,  Anna finds history very interesting., vocabulary-tag
107.  Das Baby hat Hunger – ich werde ihm etwas zu essen geben. ,  The baby is hungry – I will give it some food., vocabulary-tag
108.  Das ist alles eine Frage der Perspektive. ,  It's all a question of perspective.", vocabulary-tag
109.  Es fällt mir schwer zu glauben , dass du wirklich gehen willst. ,  I find it hard to believe that you really want to go., vocabulary-tag
110.  Ein besonderer Dank geht an Frau Hamann. ,  A special thanks goes to Ms Hamann., vocabulary-tag
111.  Wir haben nicht viel Geld, aber wir sind glücklich. ,  We don’t have a lot of money, but we are happy., vocabulary-tag
112.  Sie kommt nicht mit ins Restaurant, denn sie hat schon gegessen. ,  She is not coming to the restaurant because she has already eaten., vocabulary-tag
113.  Wir haben schon viel über dich gehört! ,  We have heard a lot about you!, vocabulary-tag
114.  Das Wetter ist heute nicht sehr gut, aber vielleicht können wir morgen Tennis spielen gehen. ,  Today the weather isn’t very good but maybe we can go and play tennis tomorrow., vocabulary-tag
115.  Ich bin mir nicht sicher, ob das der richtige Weg ist. ,  I am not sure if this is the right way ., vocabulary-tag
116.  Lass uns mit der Achterbahn fahren. Komm schon! ,  Let’s ride on the rollercoaster. Come on!, vocabulary-tag
117.  Das kannst du doch nicht wirklich von mir denken ! ,  You can’t really think that of me!, vocabulary-tag
118.  Hanno findet die Oper wirklich ausgezeichnet. ,  Hanno finds the opera really excellent., vocabulary-tag
119.  Wir würden nie Fleisch essen – wir sind strenge Vegetarier. ,  We would never eat meat – we are strict vegetarians., vocabulary-tag
120.  Kann ich mir noch ein Stück Kuchen nehmen ? ,  Can I take another piece of cake?, vocabulary-tag
121.  Es ist heute sonnig und warm. ,  Today it is sunny and warm., vocabulary-tag
122.  Es ist einfach , dieses Handy zu bedienen. ,  It is easy to operate this cell phone., vocabulary-tag
123.  Das ist das Fahrrad des Schriftstellers. ,  This is the bike of the writer., vocabulary-tag
124.  Die Frau aus meinem Büro spricht sehr gut Englisch. ,  The woman from my office speaks very good English., vocabulary-tag
125.  Hast du morgen Zeit , einkaufen zu gehen? ,  Do you have time to go shopping tomorrow?, vocabulary-tag
126.  Ich finde es okay , dass du mir deine Meinung sagst. ,  I think it’s okay that you are telling me your opinion., vocabulary-tag
127.  Man kann diese Bananen nicht mehr essen. ,  One cannot eat these bananas anymore., vocabulary-tag
128.  Wir sehen uns später am Bahnhof. ,  We’ll see each other later at the train station., vocabulary-tag
129.  Heute ist der letzte Tag vor den Ferien! ,  Today is the last day before the holidays!, vocabulary-tag
130.  Sie kann ihre Schlüssel einfach nicht mehr finden ! ,  She simply cannot find her keys anymore!, vocabulary-tag
131.  Wir haben das Treffen nun auf Montag verlegt. ,  We have now rescheduled the meeting for Monday., vocabulary-tag
132.  Was ist das? Kannst du das auch hören ? ,  What is that? Can you also hear that?, vocabulary-tag
133.  Wir wünschen euch Frohe Weihnachten! ,  We wish you a Merry Christmas!, vocabulary-tag
134.  Marianne möchte heute nicht ausgehen, weil sie krank ist. ,  Marianne does not want to go out today because she is ill., vocabulary-tag
135.  Thor ist der Gott des Donners. ,  Thor is the god of thunder., vocabulary-tag
136.  Hey ! Du hast dein Handy auf dem Tisch liegenlassen! ,  Hey ! You left your cell phone on the table!, vocabulary-tag
137.  Deine Frau kommt aus Mexiko, oder? ,  Your wife is from Mexico, right?, vocabulary-tag
138.  Heute is Freitag und nach der Arbeit gehen wir in eine nette Bar. ,  Today is Friday and after work we are going to a nice bar., vocabulary-tag
139.  Kann mir bitte jemand helfen? ,  Can someone please help me?, vocabulary-tag
140.  Wir gehen jedes Jahr eine Woche nach Spanien. ,  Every year we go to Spain for a week., vocabulary-tag
141.  Sarah weiß nicht, wann sie zurück nach Amerika geht. ,  Sarah does not know when she will go back to America., vocabulary-tag
142.  Sie muss Geld sparen, damit sie in den Urlaub gehen kann. ,  She has to save up money in order to go on vacation., vocabulary-tag
143.  Kann ich bitte mit dir reden ? ,  Can I talk to you, please?, vocabulary-tag
144.  Wir haben beschlossen, ein Haus zu bauen! ,  We have decided to build a house !, vocabulary-tag
145.  Wir müssen diesen Bericht bis morgen fertig haben. ,  We must finish this report until tomorrow., vocabulary-tag
146.  Du hast gestern gesagt , dass du heute keine Zeit hast. ,  You said yesterday that you don’t have time today., vocabulary-tag
147.  Ich kenne Fabian noch nicht sehr gut. ,  I still don’t know Fabian very well., vocabulary-tag
148.  Es werden viele Leute zu der Feier gehen. ,  Many people will go to the party., vocabulary-tag
149.  Kannst du mir bitte ein Glas Wasser bringen ? ,  Can you please bring me a glass of water?, vocabulary-tag
150.  Es gibt viel Leid auf der Welt. ,  There is a lot of sorrow in this world., vocabulary-tag
151.  Ich glaube nicht, dass wir einen Regenschirm brauchen werden. ,  I don’t think we’ll need an umbrella., vocabulary-tag
152.  Ist bei dir alles OK ? Du siehst besorgt aus. ,  Is everything OK with you? You look worried., vocabulary-tag
153.  Morgen treffe ich meinen besten Freund zum Mittagessen. ,  Tomorrow I will meet my best friend for lunch., vocabulary-tag
154.  Hast du etwas mit deinen Haaren gemacht? Du siehst heute anders aus! ,  Did you do something with your hair? You look different today!, vocabulary-tag
155.  Seine Frau spricht sehr gutes Deutsch und seine Kinder lernen es noch. ,  His wife speaks very good German and his children are going to learn it., vocabulary-tag
156.  Der Baum im Garten ist wirklich groß ! ,  The tree in the garden is really big !, vocabulary-tag
157.  Ich möchte nicht zu lange in der Sonne stehen . ,  I don’t want to stand in the sun for too long., vocabulary-tag
158.  Herr Müller, könnte ich Sie kurz sprechen? ,  Mr . Müller, could I speak to you for a moment?, vocabulary-tag
159.  Sie kann nicht verstehen , warum er so wütend ist. ,  She cannot understand why he is so angry., vocabulary-tag
160.  Das Kind meines Bruders ist 11 Jahre alt. ,  My brother’s child is 11 years old., vocabulary-tag
161.  Ich hätte gerne einen Tisch für zwei Personen. ,  I would like a table for two (people)., vocabulary-tag
162.  Soll ich dir bei der Gartenarbeit helfen ? ,  Shall I help you with the gardening?, vocabulary-tag
163.  Leider muss ich jetzt gehen – ich kann nicht länger bleiben . ,  Unfortunately, I have to go now – I cannot stay any longer., vocabulary-tag
164.  Möchtest du nach der Arbeit etwas Essen gehen? - Sicher , das hört sich gut an! ,  Would you like to go and get something to eat after work? – For sure , that sounds good!, vocabulary-tag
165.  Wann genau kommst du morgen in Berlin an? ,  When exactly will you be arriving in Berlin tomorrow?, vocabulary-tag
166.  Sie geht später zur Taufe ihrer Nichte. ,  Later she’ll go to the christening of her niece., vocabulary-tag
167.  Ist das dein Mantel? ,  Is that your coat?, vocabulary-tag
168.  Die Aussicht von hier ist wirklich schön ! ,  The view from here is really nice !, vocabulary-tag
169.  Der Vater seiner Freundin arbeitet in der Nähe des Supermarktes. ,  His girlfirend’s father works close to the supermarket., vocabulary-tag
170.  Ich werde Sir Chessington ausrichten, dass Sie angekommen sind. ,  I will let Sir Chessington know that you have arrived., vocabulary-tag
171.  Sind die Zahlen in diesem Bericht richtig ? ,  Are the numbers in this report correct ?, vocabulary-tag
172.  Dieser neue Computer ist einfach zu bedienen. ,  This new computer is easy to operate., vocabulary-tag
173.  Na ja , wir werden sehen, ob das Wetter morgen besser ist. ,  Well , we will see if the weather is better tomorrow., vocabulary-tag
174.  Jeden Morgen steht sie um 06:00 Uhr auf. ,  Every morning she gets up at 06:00 (6 AM)., vocabulary-tag
175.  Sie begrüßt alle mit einem herzlichen „ Hallo ! ,  She greets everyone with a cordial “ Hello !”, vocabulary-tag
176.  Das Schwimmbad ist ab 07:00 Uhr geöffnet. ,  The swimming pool is open from 07:00 (7 AM)., vocabulary-tag
177.  Durch das Lernen einer neuen Sprache erweitert man seinen Horizont. ,  By learning a new language, you can widen your horizon., vocabulary-tag
178.  Könnten Sie bitte etwas lauter sprechen ? ,  Could you please speak a little louder?, vocabulary-tag
179.  Ich dachte immer, dass dir München gefällt. ,  I always thought you liked Munich., vocabulary-tag
180.  Wir werden jetzt eine Gerade zeichnen. ,  We will now draw a straight line ., vocabulary-tag
181.  Es ist nicht klar , warum er die Firma verlassen hat. ,  It is not clear why he has left the company., vocabulary-tag
182.  Das solltest du nicht in der Hast machen. ,  You should not do this in haste ., vocabulary-tag
183.  Am Wochenende haben wir einen tollen Film im Kino gesehen . ,  On the weekend we have seen a great film at the cinema., vocabulary-tag
184.  Wir müssen hier raus , bevor das Gebäude zusammenbricht! ,  We have to get out before the building collapses!, vocabulary-tag
185.  Die meisten Leute arbeiten, um Geld zu verdienen. ,  Most people work in order to earn money ., vocabulary-tag
186.  Ich muss schnell etwas erledigen; kannst du bitte das Baby halten ? ,  I quickly have to do something; can you please hold the baby?, vocabulary-tag
187.  Mach es jetzt sofort! ,  Do it now!, vocabulary-tag
188.  Die Liebe ist das Thema vieler Romane und Filme. ,  Love is the topic of many novels and films., vocabulary-tag
189.  Hast du die Aufgaben gemacht ? ,  Have you done the exercises?, vocabulary-tag
190.  Der Mensch ist zu vielen außergewöhlichen Dingen fähig. ,  Man is capable of doing many extraordinary things., vocabulary-tag
191.  Sie dürfen den Rasen nicht betreten. ,  You are not allowed to walk on the grass., vocabulary-tag
192.  Ich muss mir unbedingt ein neues Paar Schuhe kaufen. ,  I really have to buy a new pair of shoes., vocabulary-tag
193.  Ich möchte gerne wissen, ob du mitkommst oder nicht. ,  I would like to know whether you are coming or not., vocabulary-tag
194.  Jeder in dieser Firma hat bestimmte Aufgaben zu erledigen. ,  Everyone in this company has certain tasks to complete., vocabulary-tag
195.  Deine Hände sind wirklich klein ! ,  Your hands are really small !, vocabulary-tag
196.  Die Mutter meines Freundes ist ziemlich streng. ,  My friend’s mother is pretty strict., vocabulary-tag
197.  Wann werden wir eine Gehaltserhöhung bekommen? ,  When will we get a pay rise?, vocabulary-tag
198.  Wenn du etwas nicht weißt, solltest du fragen . ,  If you don’t know something you should ask ., vocabulary-tag
199.  Sag nichts! ,  Don’t say anything!, vocabulary-tag
200.  Sie sollte sich bei der Arbeit mehr Mühe geben. ,  She should put in more effort at work., vocabulary-tag
201.  Letzte Nacht hat es stark geregnet. ,  Last night it rained a lot., vocabulary-tag
202.  Dein Benehmen gestern war nicht in Ordnung . ,  Your behavior yesterday was not in order., vocabulary-tag
203.  Eines Tages müssen wir alle sterben . ,  One day we all have to die ., vocabulary-tag
204.  Jeder muss diese Prüfung machen – selbst du! ,  Everyone has to do the exam – even you!, vocabulary-tag
205.  Es ist alles so schnell passiert ! ,  It all happened so fast!, vocabulary-tag
206.  Ohne deine Hilfe hätte ich es nicht geschafft. ,  I couldn’t have done it without your help., vocabulary-tag
207.  Es ist nicht gut, immer an das Alte zu glauben. ,  It is not good to only believe in the old ., vocabulary-tag
208.  Dieses Auto hier ist neu . ,  This car here is new ., vocabulary-tag
209.  Es gibt noch eine Sache , die ich erledigen muss. ,  There is one more thing I need to do., vocabulary-tag
210.  Ihre Katze liegt gerne in der Sonne und ihre zwei Hunde bevorzugen den Schatten. ,  Her cat likes to lie in the sun and their two dogs prefer the shade., vocabulary-tag
211.  Dem Manager liegt das Wohl seiner Mitarbeiter sehr am Herzen. ,  The manager cares a lot about the well-being of his employees., vocabulary-tag
212.  Sie muss 10 Minuten auf den Bus warten . ,  She has to wait 10 minutes for the bus., vocabulary-tag
213.  Dort drüben können wir das Auto parken. ,  Over there we can park the car., vocabulary-tag
214.  Hör mir zu! ,  Listen to me!, vocabulary-tag
215.  Ich muss alle diese Bücher lesen! ,  I have to read all of these books!, vocabulary-tag
216.  Komm doch bitte mal schnell her . ,  Please come over here quickly., vocabulary-tag
217.  Er kann noch nicht gehen – er ist erst drei Monate alt! ,  He can’t walk yet – he is only three months old!, vocabulary-tag
218.  Seine Katze ist leider tot . ,  Unfortunately, his cat is dead ., vocabulary-tag
219.  Hast du die Nachrichten gehört ? ,  Have you heard the news?, vocabulary-tag
220.  Dieser Kaffee ist besser als der letzte. ,  This coffee is better than the last one., vocabulary-tag
221.  Sarah hat Hunger – wir sollten etwas essen . ,  Sarah is hungry – we should eat something., vocabulary-tag
222.  Niemand möchte den Müll rausbringen. ,  No one wants to take the trash out., vocabulary-tag
223.  Geh nach Hause! ,  Go home!, vocabulary-tag
224.  Ist das dein Stift? - Ja, das ist meiner . ,  Is that your pen? – Yes, that’s mine ., vocabulary-tag
225.  Im Sommer werden wir nach Italien fahren ! ,  In the summer we will go to Italy!, vocabulary-tag
226.  Viele Leute heißen Michael. ,  Many people are called Michael., vocabulary-tag
227.  Dieser Stein kommt vom Mond. ,  This stone is from the moon., vocabulary-tag
228.  Ihr Mann spricht Italienisch und ihr Kind ebenfalls. ,  Her husband speaks Italian and her child as well., vocabulary-tag
229.  Kannst du das Ding bitte wegschmeißen? ,  Can you throw this thing away please?, vocabulary-tag
230.  Wie lange müssen wir warten? ,  How long do we have to wait?, vocabulary-tag
231.  Das Problem ist, dass keiner die Verantwortung übernehmen will. ,  The problem is that no one wants to take responsibility., vocabulary-tag
232.  Diese Straße führt uns nur weiter in die falsche Richtung. ,  This road just leads us further in the wrong direction., vocabulary-tag
233.  Am Wochenende muss er nicht arbeiten . ,  On the weekend he does not have to work ., vocabulary-tag
234.  Wieso kannst du nicht die Wahrheit sagen? ,  Why can’t you tell the truth?, vocabulary-tag
235.  Er hat das Recht , sich einen Anwalt zu nehmen. ,  He has the right to a lawyer., vocabulary-tag
236.  Wir gehen jetzt ins Wasser. ,  We’re going into the water now., vocabulary-tag
237.  Vor dem Gesetz sind alle gleich . ,  Everyone is equal in front of the law., vocabulary-tag
238.  Das Mädchen freut sich schon sehr auf die Schule. ,  The girl is really looking forward to school., vocabulary-tag
239.  In wenigen Minuten werden wir abstimmen . ,  We will vote in a few minutes., vocabulary-tag
240.  Wir leben seit 2001 hier. ,  We’ve been living here since 2001., vocabulary-tag
241.  Ich werde deinen Geburtstag dieses Jahr nicht vergessen ! ,  I won’t forget your birthday this year!, vocabulary-tag
242.  Davon habe ich ja noch gar nichts gehört! ,  I have not heard anything thereof !, vocabulary-tag
243.  Kann ich noch etwas Tee haben? - Natürlich ! ,  Can I have more tea? – Of course !, vocabulary-tag
244.  Die Welt hat viele schöne Orte zu bieten. ,  The world has many beautiful places to offer., vocabulary-tag
245.  Das ist unser Halt , wir müssen hier aussteigen. ,  This is our stop , we have to get off here., vocabulary-tag
246.  Er hat heute noch überhaupt nichts gegessen. ,  He hasn’t eaten anything at all today., vocabulary-tag
247.  Wie kommen wir da rein ? (Wie kommen wir da hinein ?) ,  How do we get in there?, vocabulary-tag
248.  Wie kommen wir zum Bahnhof hin ? ,  How do we get to the train station?, vocabulary-tag
249.  Ich hätte gerne drei Brötchen. ,  I would like to have three bread rolls., vocabulary-tag
250.  Er hat eine Narbe an seiner rechten Hand . ,  He has a scar on his right hand ., vocabulary-tag
251.  Die Katze ist unter dem Tisch. ,  The cat is under the table., vocabulary-tag
252.  Ich gebe dir 20 Euro dafür . ,  I will give you 20 Euros for this ., vocabulary-tag
253.  Das Warten auf das Essen hat sich gelohnt – es war köstlich! ,  The wait for the food was worth it – it was delicious!, vocabulary-tag
254.  Es ist falsch, andere Menschen zu töten . ,  It is wrong to kill other people., vocabulary-tag
255.  Der Abstand von hier bis zum Sofa beträgt 3 Meter. ,  The distance from here to the sofa is 3 meters., vocabulary-tag
256.  Man darf sich von seiner Angst nicht kontrollieren lassen. ,  One should not be controlled by one’s fear ., vocabulary-tag
257.  Es wäre schön, wenn wir dieses Wochenende etwas zusammen machen könnten. ,  It would be nice if we could do something together this weekend., vocabulary-tag
258.  Wo sollen wir uns morgen treffen ? ,  Where shall we meet tomorrow?, vocabulary-tag
259.  Bei uns ist es Brauch , an Weihnachten in die Kirche zu gehen. ,  It is a custom here to go to church on Christmas., vocabulary-tag
260.  Ich kann das nicht mehr mitansehen – ich habe genug ! ,  I can’t look at this anymore – I’ve had enough !, vocabulary-tag
261.  Die Kinder können im Garten spielen . ,  The children can play in the garden., vocabulary-tag
262.  Das hier ist Herr Müller, unser neuer Chef. ,  This is Mr. Müller, our new boss., vocabulary-tag
263.  Er wird jede Minute ankommen! ,  He will arrive any minute !, vocabulary-tag
264.  Die Polizei konnte den Fall nicht lösen. ,  The police could not solve the case ., vocabulary-tag
265.  Es gibt auch noch andere Alternativen. ,  There are other alternatives., vocabulary-tag
266.  Kannst du bitte etwas schneller laufen ? ,  Can you please run a little faster?, vocabulary-tag
267.  Ach , das wusste ich nicht! ,  Oh , I didn’t know that!, vocabulary-tag
268.  Mein Bruder arbeitet in Hamburg. ,  My brother works in Hamburg., vocabulary-tag
269.  Du bist so komisch heute – habe ich dir etwas getan ? ,  You are very strange today – have I done something to you?, vocabulary-tag
270.  Sollen wir heute ins Kino gehen? - Ne , ich bin zu müde. ,  Shall we go to the cinema today? - Nah , I’m too tired., vocabulary-tag
271.  Was heißt das? Ich kann dieses Wort nicht richtig lesen. ,  What does that say? I can’t read this word properly., vocabulary-tag
272.  Endlich ist der Moment gekommen, auf den wir alle gewartet haben! ,  Finally, the moment arrived, for which we have all been waiting for!, vocabulary-tag
